	Ref	POS	Morpheme	MorTag	Line
0	<CA Mt 6:24>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni manna ▶mag◀ twaim fraujam skalkinon ; unte jabai fijaiþ ainana , jah anþarana frijoþ ; aiþþau ainamma ufhauseiþ , iþ anþaramma frakann . ni ▶mag◀uþ guda skalkinon jah mammonin . 
1	<CA Mt 6:24>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ni manna mag twaim fraujam skalkinon ; unte jabai fijaiþ ainana , jah anþarana frijoþ ; aiþþau ainamma ufhauseiþ , iþ anþaramma frakann . ni ▶maguþ◀ guda skalkinon jah mammonin . 
2	<CA Mt 6:27>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	iþ ƕas izwara maurnands ▶mag◀ anaaukan ana wahstu seinana aleina aina ? 
3	<CA Mt 7:18>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni ▶mag◀ bagms þiuþeigs akrana ubila gataujan , nih bagms ubils akrana þiuþeiga gataujan . 
4	<CA Mt 5:36>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	nih bi haubida þeinamma swarais , unte ni ▶magt◀ ain tagl ƕeit aiþþau swart gataujan . 
5	<CA Mt 8:2>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	jah sai , manna þrutsfill habands durinnands inwait ina qiþands : frauja , jabai wileis , ▶magt◀ mik gahrainjan . 
6	<CA Mt 8:28>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah qimandin imma hindar marein in gauja Gairgaisaine , gamotidedun imma twai daimonarjos us hlaiwasnom rinnandans , sleidjai filu , swaswe ni ▶mahta◀ manna usleiþan þairh þana wig jainana . 
7	<CA Mt 9:15>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	jah qaþ du im Iesus : ibai ▶magun◀ sunjus bruþfadis qainon und þata ƕeilos þei miþ im ist bruþfaþs ? iþ atgagggand dagos , þan afnimada af im sa bruþfaþs , jah þan fastand . 
8	<CA Mt 9:28>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-1	Qimandin þan in garda duatiddjedun imma þai blindans jah qaþ im Iesus : ga~u~laubjats þatei ▶magjau◀ þata taujan ? Qeþun du imma : jai , frauja ! 
9	<CA Mt 10:28>	Verb	V.prt.-prs.	WEAK-MASC-ACC-PLUR	jah ni ogeiþ izwis þans usqimandans leika þatainei , iþ saiwalai ni ▶magandans◀ usqiman , iþ ogeiþ mais þana magandan jah saiwalai jah leika fraqistjan in gaiainnan . 
10	<CA Mt 10:28>	Verb	V.prt.-prs.	WEAK-MASC-ACC-SING	jah ni ogeiþ izwis þans usqimandans leika þatainei , iþ saiwalai ni ▶magandan◀s usqiman , iþ ogeiþ mais þana ▶magandan◀ jah saiwalai jah leika fraqistjan in gaiainnan . 
11	<CA Jn 6:44>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni manna ▶mag◀ qiman at mis , nibai atta saei sandida mik atþinsiþ ina , jah ik urraisja ina in þamma spedistin daga . 
12	<CA Jn 6:52>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	þanuh sokun miþ sis misso Iudaieis qiþandans : ƕaiwa ▶mag◀ sa unsis leik giban du matjan ? 
13	<CA Jn 6:60>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	þanuh managai gahausjandans þize siponje is qeþun : hardu ist þata waurd , ƕas ▶mag◀ þis hausjon ? 
14	<CA Jn 6:65>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah qaþ : duþe qaþ izwis þatei ni ainshun ▶mag◀ qiman at mis , nibai ist atgiban imma fram attin meinamma . 
15	<CA Jn 7:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ni ▶mag◀ so manaseþs fijan izwis , iþ mik fijaiþ ; unte ik weitwodja bi ins þatei waurstwa ize ubila sind . 
16	<CA Jn 7:34>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	sokeiþ mik jah ni bigitiþ , jah þarei im ik , jus ni ▶maguþ◀ qiman . 
17	<CA Jn 7:36>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ƕa sijai þata waurd , þatei qaþ : sokeiþ mik jah ni bigitiþ , jah þarei im ik , jus ni ▶maguþ◀ qiman ? 
18	<CA Jn 8:21>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	þanuh qaþ aftra du im Iesus : ik galeiþa , jah sokeiþ mik , jah in frawaurhtai izwarai gadauþniþ . þadei ik gagga , jus ni ▶maguþ◀ qiman . 
19	<CA Jn 8:22>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	qeþun þan Iudaieis : nibai usqimai sis silbin , ei qiþiþ : þadei ik gagga , jus ni ▶maguþ◀ qiman ? 
20	<CA Jn 8:43>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	duƕe maþlein meina ni kunnuþ ? unte ni ▶maguþ◀ hausjan waurd mein . 
21	<CA Jn 9:4>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ik skal waurkjan waurstwa þis sandjandins mik , unte dags ist ; qimiþ nahts , þa(unclear)n(/unclear)ei ni manna ▶mag◀ waurkjan . 
22	<CA Jn 9:16>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	qeþun þan sumai þize Fareisaie : sa manna nist fram guda , þande sabbate daga ni witaiþ . sumaih qeþun : ƕaiwa ▶mag◀ manna frawaurhts swaleikos taiknins taujan ? jah missaqiss warþ miþ im . 
23	<CA Jn 9:33>	Verb	V.prt.-prs.	ACT-OPT-PRET-SING-3	nih wesi sa fram guda , ni ▶mahtedi◀ taujan ni waiht . 
24	<CA Jn 10:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	sumaih qeþun : þo waurda ni sind unhulþon habandins ; ibai ▶mag◀ unhulþo blindaim augona uslukan ? 
25	<CA Jn 10:29>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	atta meins þatei fragaf mis , maizo allaim ist , jah ni aiw ainshun ▶mag◀ frawilwan þo us handau attins meinis . 
26	<CA Jn 10:35>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jabai jainans qaþ guda , du þaimei waurd gudis warþ , jah ni ▶maht◀ ist gatairan þata gamelido ; 
27	<CA Jn 11:37>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	sumai þan ize qeþun : niu ▶mahta◀ sa izei uslauk augona þamma blindin gataujan ei jah sa ni gadauþnodedi ? 
28	<CA Jn 12:39>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-3	duþþe ni ▶mahtedun◀ galaubjan ; unte aftra qaþ Esaeias : 
29	<CA Jn 13:33>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	barnilona , nauh leitil mel miþ izwis im . sokeiþ mik , jah swaswe qaþ du Iudaium , ei þadei ik gagga , jus ni ▶maguþ◀ qiman , jah izwis qiþa nu . 
30	<CA Jn 13:36>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	þanuh qaþ du imma Seimon Paitrus : frauja , ƕad gaggis ? andhafjands Iesus qaþ : þadei ik gagga , ni ▶magt◀ mik nu laistjan ; iþ biþe laisteis . 
31	<CA Jn 13:37>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	þaruh Paitrus qaþ du imma : frauja , duƕe ni ▶mag◀ þuk laistjan nu ? saiwala meina faur þuk lagja . 
32	<CA Jn 14:5>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-1	þaruh qaþ imma Þomas : frauja , ni witum ƕaþ gaggis , jah ƕaiwa ▶magum◀ þana wig kunnan ? 
33	<CA Jn 14:17>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	ahma sunjos , þanei so manaseiþs ni ▶mag◀ niman , unte ni saiƕiþ ina , nih kann ina ; iþ jus kunnuþ ina , unte is miþ izwis wisiþ jah in izwis ist . 
34	<CA Jn 15:4>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	wisaiþ in mis jah ik in izwis . swe sa weinatains ni ▶mag◀ akran bairan af sis silbin , niba ist ana weinatriwa , swah nih jus , niba in mis sijuþ . 
35	<CA Jn 15:5>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	ik im þata weinatriu , iþ jus weinatainos ; saei wisiþ in mis jah ik in imma , swa bairiþ akran manag , þatei inuh mik ni ▶maguþ◀ taujan ni waiht . 
36	<CA Jn 16:12>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	Nauh ganoh skal qiþan izwis , akei ni ▶maguþ◀ frabairan nu . 
37	<CA Lk 1:17>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah silba fauraqimid in andwairþja is in ahmin jah ▶mahtai◀ Haileiins gawandjan hairtona attane du barnam jah untalans in frodein garaihtaize , manwjan fraujin managein gafahrida . 
38	<CA Lk 1:17>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah silba fauraqimid in andwairþja is in ahmin jah ▶mahtai◀ Haileiins gawandjan hairtona attane du barnam jah untalans in frodein garaihtaize , manwjan fraujin managein gafahrida . 
39	<CA Lk 1:20>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	jah sai sijais þahands jah ni ▶magands◀ rodjan und þana dag ei wairþai þata , duþe ei ni galaubides waurdam meinaim , þoei usfulljanda in mela seinamma . 
40	<CA Lk 1:22>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
41	<CA Lk 1:22>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
42	<CA Lk 1:22>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
43	<CA Lk 1:22>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
44	<CA Lk 1:22>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
45	<CA Lk 1:22>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
46	<CA Lk 1:22>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	usgaggands þan ni ▶mahta◀ du im rodjan , jah froþun þammei siun gasaƕ in alh ; jah silba was bandwjands im jah (add)ga(add)was dumbs . 
47	<CA Lk 1:35>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	jah andhafjands sa aggilus qaþ du izai : ahma weihs atgaggiþ ana þuk , jah ▶mahts◀ hauhistins ufarskadweid þus , duþe ei jah saei gabairada weihs haitada sunus gudis . 
48	<CA Lk 3:8>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	waurkjaiþ nu akran wairþata idreigos jah ni duginnaiþ qiþan in izwis : attan aigum Abraham ; qiþa auk izwis þatei ▶mag◀ guþ us stainam þaim urraisjan barna Abrahama . 
49	<CA Lk 3:8>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	waurkjaiþ nu akran wairþata idreigos jah ni duginnaiþ qiþan in izwis : attan aigum Abraham ; qiþa auk izwis þatei ▶mag◀ guþ us stainam þaim urraisjan barna Abrahama . 
50	<CA Lk 4:14>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah gawandida sik Iesus in ▶mahtai◀ ahmins in Galeilaian , jah meriþa urrann and all gawi bisitande bi ina . 
51	<CA Lk 4:14>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah gawandida sik Iesus in ▶mahtai◀ ahmins in Galeilaian , jah meriþa urrann and all gawi bisitande bi ina . 
52	<CA Lk 4:36>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	jah warþ afslauþnan ana allans , jah rodidedun du sis misso qiþandans : ƕa waurde þata , þatei miþ waldufnja jah ▶mahtai◀ anabiudiþ þaim unhrainjam ahmam jah usgaggand ? 
53	<CA Lk 4:36>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	jah warþ afslauþnan ana allans , jah rodidedun du sis misso qiþandans : ƕa waurde þata , þatei miþ waldufnja jah ▶mahtai◀ anabiudiþ þaim unhrainjam ahmam jah usgaggand ? 
54	<CA Lk 5:12>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	jah warþ , miþþanei was is in ainai baurge , jah sai , manna fulls þrutsfillis jah gasaiƕands Iesu driusands ana andwairþi bad ina qiþands : frauja , jabai wileis , ▶magt◀ mik gahrainjan . 
55	<CA Lk 5:17>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	jah warþ in ainamma dage , jah is was laisjands . jah wesun sitandans Fareisaieis jah witodalaisarjos , þaiei wesun gaqumanai us allamma haimo Galeilaias jah Iudaias jah Iairusaulwmon ; jah ▶mahts◀ fraujins was du hailjan ins . 
56	<CA Lk 5:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah dugunnun þagkjan þai bokarjos jah Fareisaieis qiþandans : ƕas ist sa , saei rodeiþ naiteinins ? ƕas ▶mag◀ afletan frawaurhtins , alja ains guþ ? 
57	<CA Lk 5:21>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah dugunnun þagkjan þai bokarjos jah Fareisaieis qiþandans : ƕas ist sa , saei rodeiþ naiteinins ? ƕas ▶mag◀ afletan frawaurhtins , alja ains guþ ? 
58	<CA Lk 6:19>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	jah alla managei sokidedun attekan imma , unte ▶mahts◀ af imma usiddja jah ganasida allans . 
59	<CA Lk 6:39>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	qaþuh þan gajukon im : ibai ▶mag◀ blinds blindana tiuhan ? niu bai in dal gadriusand ? 
60	<CA Lk 6:39>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	qaþuh þan gajukon im : ibai ▶mag◀ blinds blindana tiuhan ? niu bai in dal gadriusand ? 
61	<CA Lk 6:42>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	aiþþau ƕaiwa ▶magt◀ qiþan du broþr þeinamma : broþar let , ik uswairpa gramsta þamma in augin þeinamma , silba in augin þeinamma anza ni gaumjands ? liuta , uswairp faurþis þamma anza us augin þeinamma , jah þan gaumjais uswairpan gramsta þamma in augin broþrs þeinis . 
62	<CA Lk 6:48>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	galeiks ist mann timrjandin razn , saei grob jah gadiupida jah gasatida grunduwaddjau ana staina . at garunjon þan waurþanai bistagq aƕa bi jainamma razna jah ni ▶mahta◀ gawagjan ita ; gasulid auk was ana þamma staina . 
