,Token,Subtoken,Lemma,Derivation,Tag
0,689,,1880,,40
1,690,,3220,,1
2,691,,886,,126
3,692,,1547,,1
4,693,,1073,,9
5,694,,1604,,1
6,695,,3321,,9
7,696,,2230,,10
8,697,,2693,1.0,40
9,698,,495,,115
10,699,,3647,,1
11,700,,1122,,171
12,701,,1966,,9
13,702,,221,,1
14,703,,2267,,118
15,704,,3057,,73
16,705,,2971,,1
17,706,,1217,,126
18,707,,2079,,3
19,708,,2482,,21
20,709,,1585,,1
21,710,,3057,,63
22,711,,3639,,1
23,712,,495,,137
24,713,,978,,173
25,714,,1547,,1
26,715,,1347,,3
27,716,,2997,,21
28,717,,1604,,1
29,718,,1890,1.0,12
30,719,,1323,,4
31,720,,2997,,22
32,721,,495,,173
33,722,,3643,,1
34,723,,348,,4
35,724,,2997,,14
36,725,,2368,,77
37,726,,1547,,1
38,727,,906,,4
39,728,,1604,,1
40,729,,348,,2
41,730,,2997,,12
42,731,,2375,,75
43,732,,2387,,120
44,733,,1547,,1
45,734,,906,,4
46,735,,1155,,120
47,736,,3057,,65
48,737,,1547,,1
49,738,,419,,4
50,740,,2164,,1
51,741,,3410,,143
52,742,,2780,,1
53,743,,2368,,79
54,744,,3007,,10
55,745,,3059,,120
56,746,,1577,,81
57,747,,368,,1
58,748,,3647,,1
59,749,,1547,,1
60,750,,820,,4
61,751,,2482,,22
62,752,,1330,,171
63,753,,2164,,1
64,754,,1812,,125
65,754,,1812,,179
66,754,,1812,,143
67,755,,3651,,1
68,756,,2368,,81
69,757,,3511,,120
70,758,,368,,1
71,759,,348,,2
72,760,,1599,,12
73,761,,2375,,94
74,761,,2375,,78
75,762,,3057,,71
76,763,,2978,,125
77,764,,785,,1
78,765,,3057,,71
79,766,,495,,143
80,767,,1577,,76
81,768,,2763,,1
82,769,,3651,,1
83,770,,495,,143
84,771,,3057,,71
85,772,,348,,6
86,773,,3208,,12
87,774,,3057,,63
88,775,,1547,,1
89,776,,1354,,9
90,777,,3431,,138
91,778,,2118,,2
92,779,,2997,,28
93,780,,2251,,138
94,781,,3012,,2
95,782,,2997,,12
96,783,,3350,,138
97,784,,3474,,2
98,785,,2997,,12
99,786,,2783,,1
100,787,,1547,,1
101,788,,1354,,4
102,789,,1604,,1
103,790,,3633,,1
104,791,,139,,4
105,792,,1372,,3
106,793,,3208,,13
107,794,,2368,,76
108,795,,2525,,37
109,796,,1150,,173
110,797,,1545,,73
111,798,,1348,,77
112,799,,578,,4
113,800,,1604,,1
114,801,,1834,,173
115,802,,1545,,73
116,803,,2971,,1
117,804,,2594,,7
118,805,,3497,,142
119,806,,2780,,1
120,807,,1604,,1
121,808,,1545,,71
122,809,,1834,,124
123,810,,2368,,81
124,811,,2594,,9
125,812,,3208,,18
126,813,,1604,,1
127,814,,2164,,1
128,815,,553,,137
129,816,,1545,,73
130,816,,1545,,72
131,817,,1547,,1
132,818,,850,,4
133,819,,173,,1
134,820,,1797,,173
135,821,,1545,,72
136,821,,1545,,73
137,822,,25,,1
138,823,,2368,,93
139,824,,3080,,54
140,825,,3220,,1
141,826,,3057,,66
142,827,,3497,,120
143,828,,3008,,2
144,829,,1604,,1
145,830,,1920,,2
146,831,,1604,,1
147,832,,3561,,2
148,833,,1547,,1
149,834,,164,,8
150,835,,221,,1
151,836,,3220,,1
152,837,,1602,,1
153,838,,1834,,125
154,839,,1966,,9
155,840,,2061,,8
156,841,,1577,,82
157,842,,1834,,120
158,843,,1604,,1
159,844,,3057,,73
160,845,,348,,2
161,846,,1599,,12
162,847,,2368,,75
163,848,,3087,,1
164,849,,1354,,9
165,850,,1585,,1
166,851,,1602,,1
167,852,,2164,,1
168,853,,1834,,125
169,854,,1966,,9
170,855,,2061,,8
171,856,,1577,,82
172,857,,2164,,1
173,858,,2976,,1
174,859,,348,,2
175,860,,1599,,12
176,861,,1834,,120
177,862,,2061,,8
178,863,,1599,,25
179,864,,352,,1
180,865,,3634,,1
181,866,,759,,125
182,866,,759,,143
183,866,,759,,179
184,867,,2164,,1
185,868,,3350,,143
186,869,,2780,,1
187,870,,2368,,79
188,871,,1880,,40
189,872,,1128,,16
190,873,,3394,,126
191,874,,368,,1
192,875,,279,,8
193,876,,2482,,33
194,877,,3647,,1
195,878,,2391,,171
196,879,,1966,,9
197,880,,759,1.0,40
198,881,,221,,1
199,882,,2267,,118
200,883,,3057,,73
201,884,,2971,,1
202,885,,2171,,135
203,886,,2079,,3
204,887,,2482,,21
205,888,,1585,,1
206,889,,3057,,63
207,890,,759,1.0,12
208,891,,2415,,173
209,892,,1305,,3
210,893,,2997,,29
211,894,,1604,,1
212,895,,1888,,3
213,896,,2997,,21
214,897,,3069,,173
215,898,,3647,,1
216,899,,2164,,1
217,900,,2391,,164
218,901,,1966,,9
219,902,,759,1.0,12
220,903,,173,,1
221,904,,348,,4
222,905,,2997,,14
223,906,,2368,,77
224,907,,1547,,1
225,908,,906,,4
226,909,,1604,,1
227,910,,348,,2
228,911,,2997,,12
229,912,,2375,,75
230,913,,2387,,120
231,914,,1547,,1
232,915,,906,,4
233,916,,1155,,120
234,917,,3057,,65
235,918,,2164,,1
236,919,,1465,,143
237,920,,3057,,73
238,921,,1464,,8
239,922,,3633,,1
240,923,,139,,4
241,924,,2965,,1
242,925,,1948,,2
243,926,,1604,,1
244,927,,2166,,2
245,928,,3394,,120
246,929,,1604,,1
247,930,,2965,,1
248,1,,173,,1
249,2,,3633,,1
250,3,,1893,,4
251,4,,1604,,1
252,5,,1875,,120
253,6,,215,,18
254,6,,215,,26
255,6,,215,,34
256,7,,2368,,89
257,7,,2368,,81
258,7,,2368,,98
259,8,,1547,,1
260,9,,2368,,77
261,10,,1084,,4
262,11,,2763,,1
263,12,,1875,,138
264,13,,1874,,2
265,14,,1599,,28
266,15,,1547,,1
267,16,,279,,4
268,17,,1966,,10
269,18,,3647,,1
270,19,,2391,,144
271,20,,1599,,33
272,21,,1176,,33
273,22,,3418,,8
274,23,,1604,,1
275,24,,1312,,144
276,25,,348,,3
277,26,,1599,,13
278,27,,2368,,76
279,28,,1547,,1
280,29,,1354,,9
281,30,,2164,,1
282,31,,1438,,143
283,32,,3647,,1
284,33,,2251,,145
285,34,,2845,,115
286,35,,3517,,3
287,36,,152,,1
288,37,,2238,,8
289,38,,2164,,1
290,39,,2251,,127
291,40,,2845,,115
292,41,,173,,1
293,42,,917,,115
294,43,,221,,1
295,44,,368,,1
296,45,,2267,,118
297,46,,3057,,73
298,47,,3136,,1
299,48,,2375,,92
300,49,,1827,,120
301,50,,1354,,2
302,51,,1604,,1
303,52,,139,,2
304,53,,1623,,2
305,54,,123,,12
306,55,,152,,1
307,56,,123,,12
308,57,,2738,,2
309,58,,2164,,1
310,59,,1827,,120
311,60,,25,,1
312,61,,3517,,4
313,62,,3220,,1
314,63,,215,,28
315,64,,3350,,120
316,65,,1585,,1
317,66,,2375,,75
318,67,,3651,,1
319,68,,2845,,120
320,69,,123,,21
321,70,,226,,10
322,71,,2368,,90
323,72,,2057,,51
324,73,,1604,,1
325,74,,1756,,138
326,75,,2763,,1
327,76,,1966,,8
328,77,,2057,,36
329,78,,1261,,156
330,79,,1547,,1
331,80,,3008,,4
332,81,,1354,,10
333,82,,1585,,1
334,83,,2375,,75
335,84,,2861,,120
336,85,,1604,,1
337,86,,1756,,138
338,87,,2763,,1
339,88,,2380,,75
340,89,,2049,,12
341,90,,1261,,156
342,91,,1547,,1
343,92,,3008,,4
344,93,,1354,,10
345,94,,2267,,118
346,95,,368,,1
347,96,,3057,,73
348,97,,2971,,1
349,98,,2165,,1
350,99,,1960,3.0,52
351,100,,3350,,120
352,101,,1599,,23
353,102,,1075,,5
354,103,,2976,,1
355,104,,2368,,82
356,105,,544,,10
357,106,,1604,,1
358,107,,755,,10
359,108,,2164,,1
360,109,,2976,,1
361,110,,2251,,125
362,111,,1547,,1
363,112,,3008,,4
364,113,,1354,,10
365,114,,1329,,134
366,115,,2971,,1
367,116,,2267,2.0,28
368,117,,3497,,120
369,118,,2368,,81
370,119,,134,,42
371,120,,2164,,1
372,121,,2011,,137
373,122,,1585,,1
374,123,,2375,,75
375,124,,2011,,120
376,125,,2594,,2
377,126,,3350,,120
378,127,,2706,,4
379,128,,352,,1
380,129,,1545,,63
381,130,,2267,,118
382,131,,3057,,73
383,132,,2971,,1
384,133,,1493,,75
385,134,,2080,,12
386,135,,560,,4
387,136,,2482,,14
388,137,,2777,,1
389,138,,2594,,2
390,139,,3350,,120
391,140,,2706,,4
392,141,,1585,,1
393,142,,2375,,75
394,143,,2267,,120
395,144,,560,,4
396,145,,2482,,14
397,146,,2305,,1
398,147,,2594,,2
399,148,,3350,,120
400,149,,1073,,4
401,150,,352,,1
402,151,,2375,,75
403,152,,2267,,120
404,153,,697,,36
405,154,,2594,,2
406,155,,3350,,120
407,156,,1547,,1
408,157,,1011,,3
409,158,,839,,5
410,159,,1602,,1
411,160,,3651,,1
412,161,,407,,137
413,162,,88,,3
414,163,,2997,,29
415,164,,3643,,1
416,165,,1460,,4
417,166,,1604,,1
418,167,,1606,,1
419,168,,2094,,137
420,169,,2971,,1
421,170,,560,,2
422,171,,2997,,12
423,172,,1217,,120
424,173,,1482,,92
425,174,,491,,1
426,175,,3057,,64
427,176,,1834,,173
428,177,,1606,,1
429,178,,2368,,84
430,179,,1149,,3
431,180,,2997,,21
432,181,,1547,,1
433,182,,279,,4
434,183,,1460,,5
435,184,,1604,,1
436,185,,978,,173
437,186,,784,,1
438,187,,2491,,115
439,188,,560,,4
440,189,,2997,,14
441,190,,1604,,1
442,191,,516,,1
443,192,,982,1.0,12
444,193,,408,,173
445,194,,2368,,84
446,195,,1149,,3
447,196,,2997,,21
448,197,,3497,,137
449,198,,3325,,1
450,199,,1438,1.0,12
451,200,,3611,,4
452,201,,2997,,14
453,202,,2676,,1
454,203,,3136,,1
455,204,,2375,,92
456,205,,3497,,119
457,206,,1547,,1
458,207,,3472,,4
459,208,,2074,,1
460,209,,1577,,77
461,210,,3650,,1
462,211,,1474,,1
463,212,,1153,,138
464,213,,3057,,64
465,214,,2368,,75
466,215,,3611,,2
467,216,,2707,,4
468,217,,1604,,1
469,218,,2368,,75
470,219,,2707,,2
471,220,,3057,,64
472,221,,1153,,138
473,222,,272,,4
474,223,,1604,,1
475,224,,1547,,1
476,225,,1656,,3
477,226,,1739,,155
478,227,,221,,1
479,228,,2267,,118
480,229,,3057,,65
481,230,,2164,,1
482,231,,993,,119
483,232,,1611,,1
484,233,,3220,,1
485,234,,1155,,119
486,235,,2368,,76
487,236,,2057,,37
488,237,,1691,,3
489,238,,1329,,134
490,239,,2971,,1
491,240,,2267,2.0,28
492,241,,3497,,120
493,242,,2164,,1
494,931,,3014,,7
