,ID,SortID,NextID,PreviousID,Parent,Lemma,LemmaType,Inflected,Irregular,POS,Morphology,MorphologyUncertain,WSPage,WSPosition,WSLetter,WSClass,WSClassImplied,WSClassOverride,WSClassOverrideReason,WSLemma,WSSubIndex,WSFormInfo,WSClassInfo,WSReconstruction,WSConjecture,WSUnclear,WS1920,Translation,Comment1,Comment2,Problematic,Verified,VerificationTS,ARCHIVE_StatusTS,ARCHIVE_Morphology
0,11,11.0,,,85.0,Aai,7,False,False,47,64,False,1.0,1.0,a,1.0,False,,,,,,,False,False,True,,[s. [Aia]],,,False,True,2003-09-17 11:18:49,2002-05-31 17:37:00,72.0
1,12,12.0,,,,aba,1,False,True,3,23,False,1.0,2.0,a,62.0,False,unr.Mn,4.0,,,,155(1),False,False,False,,Ehemann,,,False,True,2003-09-09 03:16:37,1998-11-19 21:59:43,7.0
2,13,13.0,,,,abba,1,False,False,44,1,False,1.0,3.0,a,1.0,False,,,,,,,False,False,False,,Vater,Xenomorph of substantief? Inflected of niet?,,False,True,2003-09-17 11:21:05,1998-11-19 22:00:34,73.0
3,14,14.0,,,,Abeileni,1,False,False,1,2,False,1.0,4.0,a,1.0,False,,,,,-i 22C,,False,False,False,,,,"Apparatus: ""Abeilenes] Abileni CA (syntaktisch falsch, FI. 31 330 f.)""",True,True,2003-09-17 11:26:45,1998-11-19 22:01:07,72.0
4,15,15.0,,,,Abia,1,False,False,1,2,False,1.0,5.0,a,1.0,False,,,,,,,True,False,False,,,,,False,True,2003-09-09 03:19:22,1998-11-19 22:01:28,72.0
5,16,16.0,,,,Abiaþar,1,False,False,1,2,False,1.0,6.0,a,1.0,False,,,,,,,False,False,False,,,P{trigo},,False,True,2003-09-09 03:20:57,1998-11-27 00:06:56,72.0
6,17,17.0,,,,Abraham,1,False,False,1,2,False,1.0,7.0,a,1.0,False,,,,,,,False,False,False,,[lat.] Abraham,,,False,True,2003-09-09 03:21:28,1998-11-19 21:31:35,72.0
7,18,18.0,,,,bi-abrjan,1,False,False,9,55,False,1.0,8.0,a,96.0,False,,,,,,,False,False,False,,"""~ ana"": [m. Dat.] vor Furcht, Staunen außer sich geraten über",,,False,True,2003-09-09 03:27:43,2002-06-03 15:41:45,53.0
8,19,19.0,,,,abrs,1,False,False,6,32,False,1.0,9.0,a,12.0,False,,,,,,,False,False,False,,"stark, heftig – [Adv.] ""abraba"": sehr",,,False,True,2003-09-09 03:29:38,1998-11-19 22:06:11,31.0
9,20,20.0,,,25.0,abu,4,False,False,47,64,False,1.0,10.0,a,1.0,False,,,,,,,False,False,False,,[d.i. ab-u s. af],,,False,True,2003-09-17 11:27:35,1998-11-19 22:06:35,71.0
