,ID,Name,Code,Streitberg
0,1,Matthew,Mt,M
1,2,John,Jn,J
2,3,Luke,Lk,L
3,4,Mark,Mk,Mc
4,5,Romans,Rom,R
5,6,Corinthians I,1Cor,K
6,7,Corinthians II,2Cor,k
7,8,Ephesians,Eph,E
8,9,Galatians,Gal,G
9,10,Philippians,Php,Ph
10,11,Colossians,Col,C
11,12,Thessalonians I,1Thess,Th
12,13,Thessalonians II,2Thess,th
13,14,Timothy I,1Tim,T
14,15,Timothy II,2Tim,t
15,16,Titus,Tit,Tit
16,17,Philemon,Phm,Phil
17,18,Nehemiah,Neh,Neh
18,19,Skeireins,Sk,Sk
19,20,Gothic Signatures,Sign,
20,21,Gothic Calendar,Cal,Kal
